0.000000	0.850000	johny
0.850000	0.880000	sil
0.880000	1.480000	johny
1.480000	1.740000	sil
1.740000	2.170000	yes
2.170000	2.870000	papa
2.870000	3.400000	sil
3.400000	3.990000	eating
3.990000	4.560000	sugar
4.560000	4.850000	sil
4.850000	5.170000	no
5.170000	5.890000	papa
5.890000	6.330000	sil
6.330000	7.010000	telling
7.010000	7.040000	sil
7.040000	7.550000	lies
7.550000	7.850000	sil
7.850000	8.120000	no
8.120000	8.840000	papa
8.840000	9.230000	sil
9.230000	9.680000	open
9.680000	9.890000	your
9.890000	10.280000	mouth
10.280000	10.560000	sil
10.560000	10.750000	ha
10.750000	10.890000	sil
10.890000	11.080000	ha
11.080000	11.250000	sil
11.250000	11.420000	ha
11.420000	11.940000	sil
