0.000000	0.280000	sil
0.280000	0.640000	humpty
0.640000	0.820000	sil
0.820000	1.300000	dumpty
1.300000	1.370000	sil
1.370000	1.480000	sat
1.480000	1.770000	on
1.770000	1.810000	sil
1.810000	2.280000	a
2.280000	3.090000	sil
3.090000	3.930000	wall
3.930000	4.460000	sil
4.460000	5.460000	humpty
5.460000	5.500000	sil
5.500000	6.440000	dumpty
6.440000	6.850000	had
6.850000	7.160000	a
7.160000	7.190000	sil
7.190000	7.510000	great
7.510000	8.010000	fall
8.010000	8.550000	sil
8.550000	8.880000	all
8.880000	9.000000	the
9.000000	9.520000	king's
9.520000	10.360000	horses
10.360000	10.530000	and
10.530000	10.600000	sil
10.600000	10.850000	all
10.850000	10.980000	the
10.980000	11.460000	king's
11.460000	11.490000	sil
11.490000	12.000000	men
12.000000	12.440000	sil
12.440000	12.690000	could
12.690000	13.010000	not
13.010000	13.150000	sil
13.150000	13.560000	put
13.560000	13.640000	sil
13.640000	14.380000	humpty
14.380000	15.510000	together
15.510000	16.180000	again
16.180000	16.380000	sil
