0.000000	0.250000	sil
0.250000	0.700000	jack
0.700000	0.930000	and
0.930000	1.280000	jill
1.280000	1.670000	went
1.670000	1.860000	up
1.860000	1.960000	sil
1.960000	2.250000	the
2.250000	2.280000	sil
2.280000	2.520000	hill
2.520000	2.790000	to
2.790000	2.890000	sil
2.890000	3.300000	fetch
3.300000	3.420000	a
3.420000	3.950000	pail
3.950000	4.010000	of
4.010000	4.080000	sil
4.080000	4.910000	water
4.910000	5.620000	sil
5.620000	5.870000	jack
5.870000	5.950000	sil
5.950000	6.250000	fell
6.250000	6.680000	down
6.680000	6.860000	and
6.860000	6.910000	sil
6.910000	7.280000	broke
7.280000	7.520000	his
7.520000	7.900000	crown
7.900000	8.110000	and
8.110000	8.300000	jill
8.300000	8.430000	sil
8.430000	8.710000	came
8.710000	8.740000	sil
8.740000	9.330000	tumbling
9.330000	9.380000	sil
9.380000	10.180000	after
10.180000	10.580000	sil
10.580000	10.850000	up
10.850000	11.200000	jack
11.200000	11.530000	got
11.530000	11.660000	and
11.660000	11.770000	sil
11.770000	12.060000	home
12.060000	12.250000	did
12.250000	12.350000	sil
12.350000	12.700000	trot
12.700000	12.730000	sil
12.730000	12.930000	as
12.930000	13.340000	fast
13.340000	13.500000	as
13.500000	13.540000	sil
13.540000	13.760000	he
13.760000	14.030000	could
14.030000	14.100000	sil
14.100000	14.920000	caper
14.920000	15.480000	sil
15.480000	15.700000	he
15.700000	16.090000	went
16.090000	16.410000	to
16.410000	17.440000	sil
17.440000	17.800000	bed
17.800000	17.990000	sil
17.990000	18.110000	to
18.110000	18.570000	mend
18.570000	18.820000	his
18.820000	19.040000	head
19.040000	19.070000	sil
19.070000	19.250000	with
19.250000	19.350000	sil
19.350000	19.750000	vinegar
19.750000	19.870000	sil
19.870000	20.150000	and
20.150000	20.450000	brown
20.450000	20.480000	sil
20.480000	21.200000	paper
21.200000	21.630000	sil
